0x71013c12a0,"MicInput"
0x71013c9211,"cWVP[0]"
0x71013c9219,"cTexOffsetAdjust"
0x71013c922a,"cWorldMtx[0]"
0x71013c9237,"cRange"
0x71013c923e,"cSrcAlbedo"
0x71013c9249,"cSrcNormal"
0x71013c9254,"cSrcPos"
0x71013c925c,"cSrc"
0x71013c9261,"cOneMinusNearDivFar"
0x71013c9275,"cHaloWidth"
0x71013c9280,"cColorCube"
0x71013c928b,"cLightTexture0"
0x71013c929a,"cLightTexture2"
0x71013c92a9,"cNormalCubeMapTexture"
0x71013c92bf,"cScatterTexture"
0x71013c92cf,"プログラム数     :%d\nバリエーション数 :%d"
0x71013c9307,"ksky"
0x71013c930c,"減衰（乗数）"
0x71013c931f,"cAltitude"
0x71013c9329,"cScatterFogCoeff"
0x71013c933a,"○"
0x71013c933e,"Symbol Type: "
0x71013c934c,"SAMPLER_IMAGE"
0x71013c935a,"カラーコレクション"
0x71013c9376,"縮小スケール"
0x71013c9389,"Min=0, Max=2"
0x71013c9396,"Brightness"
0x71013c93a1,"gamma"
0x71013c93a7,"仮想キャンバス   : (%.1f, %.1f)\nフレームバッファ : (%.1f, %.1f) - ( %.1f, %.1f )"
0x71013c9407,"chroma_distortion"
0x71013c9419,"Min = 0.0, Max = 5.0"
0x71013c9430,"USE_NORMALIZED_LINEAR_DEPTH"
0x71013c944c,"ex_type"
0x71013c9454,"Min = 2, Max = %d, Mode = MinMaxLock"
0x71013c9479,"File = %%AGL_ROOT%%/tools/bat/convertTempTexture.bat, NoWindow = True, WindowStyle = Hidden, WaitEnd = True, Arg = %%AGL_ROOT%%/tools/temporary/temp_proj_light.bfres %s, Dir = %s"
0x71013c952c,"Far enable"
0x71013c9537,"enable_color_control"
0x71013c954c,"RefTexName%d"
0x71013c9559,"rgb5a1 uN"
0x71013c9563,"a2bgr10 uN"
0x71013c956e,"テクスチャ番号2"
0x71013c9585,"合成モード"
0x71013c9595,"中心からの距離でスケーリングする按配"
0x71013c95cc,"AngleCenter%d"
0x71013c95da,"CoreOcclusionType"
0x71013c95ec,"%s <not found>"
0x71013c95fb,"ロード（グループ名が\"%s\"のデータ）"
0x71013c962d,"render_cubemap_depth"
0x71013c9642,"shadow_unit_%d"
0x71013c9651,"Enable Quarter CAscades"
0x71013c9669,"is_useDecalAo"
0x71013c9677,"is_useDepth2Normal"
0x71013c968a,"ミップマップのブラーサンプリング数"
0x71013c96be,"shadow_prepass_light_buffer"
0x71013c96da,"fcpx"
0x71013c96df,"CaptureBGColor"
0x71013c96ee,"TwoTouchCheckKeepButton"
0x71013c9706,"USERNAME"
0x71013c970f,"ShaderOptionUBO"
0x71013c971f,"3D (Deferred Water)"
0x71013c9733,"センサー"
0x71013c9740,"TerrainDecoration[Movement]"
0x71013c975c,"HitSensorThreadUpdate"
0x71013c9772,"シャドウマスク[地形オブジェ]"
0x71013c979c,"シャドウマスク[地形と水オブジェ]"
0x71013c97cc,"地形オブジェ目立たせ[インダイレクト]"
0x71013c9802,"地形オブジェ目立たせ[地形前][インダイレクト]"
0x71013c9843,"2DEffectAboveBlur"
0x71013c9855,"FogColorBlue"
0x71013c9862,"YFogRangeStart"
0x71013c9871,"YFogInterp"
0x71013c987c,"SpecularColorGreen"
0x71013c988f,"IsEnableTexOption"
0x71013c98a1,"DiffuseIntensity"
0x71013c98b2,"aglssii"
0x71013c98ba,"InitCollision"
0x71013c98c8,"InitActor%s"
0x71013c98d4,"FarAreaDistance"
0x71013c98e4,"NoGroupClipping"
0x71013c98f4,"InitShadowMask"
0x71013c9903,"CreatorList"
0x71013c990f,"WaitSign"
0x71013c9918,"IsShadow"
0x71013c9921,"FallLandX"
0x71013c992b,"PgStop"
0x71013c9932,"MaxRotate"
0x71013c993c,"uRoughnessMipRefract"
0x71013c9951,"cRefractionType"
0x71013c9961,"cUsingModelLightPreset"
0x71013c9978,"applyRenderState"
0x71013c9989,"%s：　適用式(0 = 加算、1 = 乗算)"
0x71013c99b4,"SkyTexMtxVUnder"
0x71013c99c4,"DepthEndMulti"
0x71013c99d2,"depth_end_multi"
0x71013c99e2,"sStepInterpolation"
0x71013c99f5,"AutoExposureBlendRateUp"
0x71013c9a0d,"ComposeWithMask"
0x71013c9a1d,"MakeLightStreakMask"
0x71013c9a31,"SwitchHide"
0x71013c9a3c,"SystemData/ResourceSystem"
0x71013c9a56,"cAlbedoType"
0x71013c9a62,"gbuf_albedo"
0x71013c9a6e,"gbuf_view_normal"
0x71013c9a7f,"SceneModelLightParamNum"
0x71013c9a97,"standard"
0x71013c9aa0,"Fresnel 1 World"
0x71013c9ab0,"Edge Strong Whole Weak Map"
0x71013c9acb,"Liquid Metal"
0x71013c9ad8,"Magma"
0x71013c9ade,"MirrorTexWidthScale"
0x71013c9af2,"MirrorTexHeightScale"
0x71013c9b07,"PolygonOffset"
0x71013c9b15,"IsFollowHostScale"
0x71013c9b27,"Block"
0x71013c9b2d,"MapAndWaterObjAOSO"
0x71013c9b40,"Hash"
0x71013c9b45,"StringTable"
0x71013c9b51,"IsUseDeadPlayer"
0x71013c9b61,"SpeedUp"
0x71013c9b69,"KeepAnim"
0x71013c9b72,"変更なし"
0x71013c9b7f,"IsPlayHeadOneTime"
0x71013c9b91,"Ba4"
0x71013c9b95,"Gt5"
0x71013c9b99,"IsUseMoveLimitMaxZ"
0x71013c9bac,"MoveLimitMin"
0x71013c9bb9,"SpeedCompensationMultiH"
0x71013c9bd1,"Fovy"
0x71013c9bd6,"IsReverseCoord"
0x71013c9be5,"IsValidRotateH"
0x71013c9bf4,"IsInvalidReceiveRequest"
0x71013c9c0c,"Far Distance"
0x71013c9c19,"Long A[around 18m]"
0x71013c9c2c,"Tレックス用"
0x71013c9c3d,"GigaOffset (Y-16m)"
0x71013c9c50,"プログラマブル"
0x71013c9c66,"IS_OUT_LINEAR"
0x71013c9c74,"uReducedBufferTexelSizeInv"
0x71013c9c8f,"EffectData/AllEffectData"
0x71013c9ca8,"EnableZSort"
0x71013c9cb4,"BindWorldAxisX"
0x71013c9cc3,"Min=%5.1f,Max=%5.1f,Menu=True,MenuDefault=Auto"
0x71013c9cf2,"RubyBaseLineOffset"
0x71013c9d05,"*%s_*.bflan"
0x71013c9d13,"FontName=\"%s\""
0x71013c9d21,"PadStyle"
0x71013c9d2a,"RenderHeightMap"
0x71013c9d3a,"NoiseTexture::Curl3D"
0x71013c9d4f,"PostProcessingFilterPresetList"
0x71013c9d6e,"白線を描画する"
0x71013c9d84,"BlackParam"
0x71013c9d8f,"白枠をだんだん透過する(加算値)"
0x71013c9dbc,"CanvasMix"
0x71013c9dc6,"ModifyStyle"
0x71013c9dd2,"Color Clamp Draw"
0x71013c9de3,"ラフネススケール"
0x71013c9dfc,"cMosaicTextureAlb"
0x71013c9e0e,"Min=0.f, Max=2000.f"
0x71013c9e22,"IsDisableSeStop"
0x71013c9e32,"SeMeTouchPointTouchedNormalLv"
0x71013c9e50,"EffectBusUserInfoList"
0x71013c9e66,"EarlyMode"
0x71013c9e70,"姿勢なし"
0x71013c9e7d,"MinX"
0x71013c9e82,"UtcOffsetSeconds"
0x71013c9e93,"IsIgnoreCamera"
0x71013c9ea2,"BgmChangeArea"
0x71013c9eb0,"InkArea"
0x71013c9eb8,"SwitchKeepOnArea"
0x71013c9ec9,"Spin"
0x71013c9ece,"Damage0"
0x71013c9ed6,"攻撃予兆影[サイド]"
0x71013c9ef1,"RecoverAttack"
0x71013c9eff,"RiseBack"
0x71013c9f08,"PgInvisible"
0x71013c9f14,"RetreatCutscenePhase%i"
0x71013c9f2b,"MouthLaser"
0x71013c9f36,"Roar"
0x71013c9f3b,"HrShellHitWeakLast"
0x71013c9f4e,"Blocking"
0x71013c9f57,"ShellSign"
0x71013c9f61,"Fireball"
0x71013c9f6a,"TurnLeft"
0x71013c9f73,"HipDropGuide_DualJoycons"
0x71013c9f8c,"ShellWheelStuck"
0x71013c9f9c,"PgShellWheelWallHit"
0x71013c9fb0,"JumpEnd02"
0x71013c9fba,"クッパチェイスState[投げる]"
0x71013c9fe0,"死亡デモ"
0x71013c9fed,"炎の息ステート"
0x71013ca003,"ClimbStart"
0x71013ca00e,"BodyDown"
0x71013ca017,"ThrowSign"
0x71013ca021,"InitAttackCommon"
0x71013ca032,"スーパーベル[アイテムストック]"
0x71013ca05f,"DestroyPillarTriggerArea"
0x71013ca078,"GiantFireballAttackEnd"
0x71013ca08f,"Laser4"
0x71013ca096,"PgCharge4"
0x71013ca0a0,"Laser Radius Inner Vertical Offset"
0x71013ca0c3,"Joint Pitch Hip"
0x71013ca0d3,"Follow Offset Cross Left to Right Lv 2"
0x71013ca0fa,"Post-Sweep Frames"
0x71013ca10c,"SweepFirstShotTargetY"
0x71013ca122,"SpawnHeightVariation"
0x71013ca137,"nthAimed"
0x71013ca140,"ChangePhase01"
0x71013ca14e,"BLACK SUN STEP: TRANSITIONING"
0x71013ca16c,"テンタック攻撃弾"
0x71013ca185,"テンタックの触手攻撃ステート"
0x71013ca1b0,"CrackBreak"
0x71013ca1bb,"Parallel2D"
0x71013ca1c6,"ClimbPoleAngleV"
0x71013ca1d6,"StartAngleDegreeH"
0x71013ca1e8,"CourseSelectLayoutKiosk"
0x71013ca200,"Target"
0x71013ca207,"BlockEmpty"
0x71013ca212,"CounterLock"
0x71013ca21e,"IsConnectLoad"
0x71013ca22c,"コースセレクト道[終点(土管)]"
0x71013ca255,"FlyEnd"
0x71013ca25c,"CompleteWait"
0x71013ca269,"GrowRight"
0x71013ca273,"コースイン"
0x71013ca283,"ColorAnimFrame"
0x71013ca292,"SwitchDemoAfterEndingOn"
0x71013ca2aa,"PgDemoBreakFadeCreate"
0x71013ca2c0,"AvailableNetworkLocalAct2nd"
0x71013ca2dc,"布パーツ"
0x71013ca2e9,"ClimbCloth"
0x71013ca2f4,"KinopioBrigadeTeresaStage"
0x71013ca30e,"BallNeko"
0x71013ca317,"コイン"
0x71013ca321,"Emit2"
0x71013ca327,"[state]追いかけ"
0x71013ca33b,"Turn"
0x71013ca340,"TowerAttackSecondSign"
0x71013ca356,"Bubble"
0x71013ca35d,"ヘルメット壊れモデル"
0x71013ca37c,"WindAccel"
0x71013ca386,"クローラーアイテム"
0x71013ca3a2,"ShadowMaskSetting"
0x71013ca3b4,"[state]ルート土管移動"
0x71013ca3d1,"飛行型プレイヤー発見挙動"
0x71013ca3f6,"Standby"
0x71013ca3fe,"JumpTrampoline"
0x71013ca40d,"[state]落下"
0x71013ca41b,"ツッコンドルトラップ"
0x71013ca43a,"FallTower"
0x71013ca444,"March"
0x71013ca44a,"PackunFlowerWithPot"
0x71013ca45e,"IsEnableReset"
0x71013ca46c,"FlowerPot"
0x71013ca476,"FloorDamage"
0x71013ca482,"PipePackunHead"
0x71013ca491,"WaterSurfacePoint"
0x71013ca4a3,"SleepStart"
0x71013ca4ae,"WaitDeactive"
0x71013ca4bb,"RingBeamerBeam"
0x71013ca4ca,"RotateSpeed"
0x71013ca4d6,"右腕"
0x71013ca4dd,"BlockDragonTail"
0x71013ca4ed,"歩行型ジャンプ挙動"
0x71013ca509,"WaitDistance"
0x71013ca516,"TraceMode"
0x71013ca520,"TraceEndTime"
0x71013ca52d,"ShineCounterParts"
0x71013ca53f,"AppearInGame"
0x71013ca54c,"RCS_SnapshotSceneLayout"
0x71013ca564,"PicStamp100"
0x71013ca570,"RotateStamp"
0x71013ca57c,"DisasterLightning"
0x71013ca58e,"DisasterModeLightningHard"
0x71013ca5a8,"TorpedoSpikeCount3"
0x71013ca5bb,"TorpedoSpikeMaxDistanceFromCenter3"
0x71013ca5de,"HitBell"
0x71013ca5e6,"Scenario"
0x71013ca5ef,"GigaBell_Scenario01"
0x71013ca603,"AppearLR"
0x71013ca60c,"ButtonDecided"
0x71013ca61a,"ButtonR"
0x71013ca622,"Guide01"
0x71013ca62a,"New%d"
0x71013ca630,"ParGuideSelect"
0x71013ca63f,"ParGuide_Guide_Normal"
0x71013ca655,"ファイル１"
0x71013ca665,"File2DateChallenge"
0x71013ca678,"BowserJrControlsGuide_DualJoycons"
0x71013ca69a,"MapDotIconMarioParts"
0x71013ca6af,"HideWarpMessage"
0x71013ca6bf,"ParIcon"
0x71013ca6c7,"PostSuccess"
0x71013ca6d3,"RestartStage"
0x71013ca6e0,"GameChange"
0x71013ca6eb,"PauseMenuMap_World"
0x71013ca6fe,"PlayAppear"
0x71013ca709,"CharacterDecideInWipe"
0x71013ca71f,"Decide_Notification"
0x71013ca733,"TitleLogo_Start"
0x71013ca743,"TxtAButton"
0x71013ca74e,"ArrowR"
0x71013ca755,"タッチエフェクト"
0x71013ca76e,"カメラ設定よこ"
0x71013ca784,"WipeCurtainRanking_Rank%d"
0x71013ca79e,"    H++"
0x71013ca7a6,"ASL %02X      "
0x71013ca7b5,"undef per_62"
0x71013ca7c2,"LDA (%02X,x)  "
0x71013ca7d1,"SBC #%02X     "
0x71013ca7e0,"OffWait"
0x71013ca7e8,"IsUseZPrePass"
0x71013ca7f6,"IsForceAppearBoxCoin"
0x71013ca80b,"BlockRouletteOuter"
0x71013ca81e,"RotationHigh"
0x71013ca82b,"BlockTransparentLong"
0x71013ca840,"SpinJumpR"
0x71013ca84a,"WallSlideL"
0x71013ca855,"Lighting"
0x71013ca85e,"ChikaChikaBlockA"
0x71013ca86f,"LaunchStart"
0x71013ca87b,"回転"
0x71013ca882,"IsPlacementPoint"
0x71013ca893,"1UPキノコ[強制取得]"
0x71013ca8ae,"SpinDrc"
0x71013ca8b6,"DisableClock"
0x71013ca8c3,"DisasterSpikeOcean"
0x71013ca8d6,"DisasterSpikeCornerCut"
0x71013ca8ed,"DisasterSpikeTall"
0x71013ca8ff,"WaterColumn"
0x71013ca90b,"HoldKey"
0x71013ca913,"KinopioBrigadeNpcSingleMode"
0x71013ca92f,"OpenWait"
0x71013ca938,"JntFlag4"
0x71013ca941,"無名汎用被り物"
0x71013ca957,"WaitMini"
0x71013ca960,"WakeUp"
0x71013ca967,"LockedSufficientGoalItems"
0x71013ca981,"IslandClearStartFrame"
0x71013ca997,"SwitchIdleAppear"
0x71013ca9a8,"NumWaitFrames"
0x71013ca9b6,"逃げる"
0x71013ca9c0,"SwitchEndingPrevDemoStart"
0x71013ca9da,"GoalPole"
0x71013ca9e3,"WaitGoalPole"
0x71013ca9f0,"GoalHigh"
0x71013ca9f9,"EffectPos"
0x71013caa03,"着地Z面"
0x71013caa0e,"isNextFall"
0x71013caa19,"StartTextureOffsetX"
0x71013caa2d,"GrassHigh"
0x71013caa37,"ClimbTurn"
0x71013caa41,"BlowGoal"
0x71013caa4a,"FocusCameraHoldStep_2"
0x71013caa60,"Island Keeper"
0x71013caa6e,"アイテム跳ね上げ(真上)ステート"
0x71013caa9b,"BreakBack"
0x71013caaa5,"GroundMove"
0x71013caab0,"RingLength"
0x71013caabb,"FlagCameraOutStep"
0x71013caacd,"FlagAppear"
0x71013caad8,"CatShineCompleteLod"
0x71013caaec,"StopLight"
0x71013caaf6,"Bar"
0x71013caafa,"FresnelType"
0x71013cab06,"WaterDataPhase2"
0x71013cab16,"赤色"
0x71013cab1d,"Mario_Brown"
0x71013cab29,"Link_Green"
0x71013cab34,"PanelNotePaintGroup"
0x71013cab48,"RotateOffsetZ"
0x71013cab56,"傾き接触"
0x71013cab63,"ModelSuffix"
0x71013cab6f,"SwitchSaveIsUnsetOn"
0x71013cab83,"ForcedFrontAngle"
0x71013cab94,"EnemyShardPiece"
0x71013caba4,"ItemGenerate"
0x71013cabb1,"MoveRateL3"
0x71013cabbc,"HitCheckType"
0x71013cabc9,"Mist"
0x71013cabce,"硬ブロック"
0x71013cabde,"PropellerTowerPropellerLarge"
0x71013cabfb,"LoopDistance"
0x71013cac08,"踏みスイッチ"
0x71013cac1b,"回転パーツ"
0x71013cac2b,"AlphaMaskOut"
0x71013cac38,"Enable%s"
0x71013cac41,"CharaType"
0x71013cac4b,"TransparentWallPlayerOnlyClipped"
0x71013cac6c,"Tree"
0x71013cac71,"Unlock"
0x71013cac78,"WoodBox"
0x71013cac80,"木箱[壊れモデル]"
0x71013cac98,"Ｉｔ’ｓゴールド"
0x71013cacb1,"みねぎし"
0x71013cacbe,"n2154"
0x71013cacc4,"n2884"
0x71013cacca,"(・∀・)"
0x71013cacd6,"1-up-inoue"
0x71013cace1,"1-up-yaeno"
0x71013cacec,"World4以降"
0x71013cacf9,"FairyNpc"
0x71013cad02,"グリーンスター取出しデモ"
0x71013cad27,"ReactionWave"
0x71013cad34,"StartBehavior"
0x71013cad42,"SwoonStartUpperPunch"
0x71013cad57,"InitFur"
0x71013cad5f,"ClimbGigaBodyAttack"
0x71013cad73,"GigaClimbRollingAttack"
0x71013cad8a,"InWaterAmbient"
0x71013cad99,"GoOutOfWaterLight"
0x71013cadab,"PgGiantStart"
0x71013cadb8,"PgGiantRunL"
0x71013cadc4,"PunchReflectPower"
0x71013cadd6,"TrampleHipDropJump"
0x71013cade9,"RisingTrampleHighJumpGravity"
0x71013cae06,"HipDropJumpPow"
0x71013cae15,"NormalRollingMinSpeed"
0x71013cae2b,"RaccoonDogNormalRollingSideAccel"
0x71013cae4c,"RaccoonDogDashRollingBrakeRate"
0x71013cae6b,"InvincibleJumpPowCountMax"
0x71013cae85,"StandSwimForwardBentDegree"
0x71013caea0,"SwimKickSpeedMax"
0x71013caeb1,"StandSwimFromDiveTimer"
0x71013caec8,"StandSwimFromDiveRisePower"
0x71013caee3,"SwimDiveBrake"
0x71013caef1,"PropellerButtonOffFallSpeedMax"
0x71013caf10,"ForceSlideMaxSpeed"
0x71013caf23,"HoldThrowFrontTiming"
0x71013caf38,"ClimbAttackWaitInterval"
0x71013caf50,"GroundSpinAccel"
0x71013caf60,"SkateJumpGravity"
0x71013caf71,"SkateJumpPowCountMax"
0x71013caf86,"スーパー"
0x71013caf93,"水柱ヒット[ベース]"
0x71013cafae,"stage_id"
0x71013cafb7,"stamps"
0x71013cafbe,"flag_top_characters"
0x71013cafd2,"shine_count"
0x71013cafde,"mode"
0x71013cafe3,"multi_play_time"
0x71013caff3,"packet_loss_ratio_max"
0x71013cb009,"ReadyWait"
0x71013cb013,"GoalWait"
0x71013cb01c,"SwimGetOn"
0x71013cb026,"HandWave"
0x71013cb02f,"DemoEndRollStage"
0x71013cb040,"ClockMapParts"
0x71013cb04e,"CourseSelectNode"
0x71013cb05f,"Kameck"
0x71013cb066,"KarakuriCastleDoorWatcher"
0x71013cb080,"MagmaFish"
0x71013cb08a,"OceanWaterDynamicDeferred"
0x71013cb0a4,"RouteDokanLauncher"
0x71013cb0b7,"SkipperWeak"
0x71013cb0c3,"StageStartEventDemo"
0x71013cb0d7,"TentenGenerator"
0x71013cb0e7,"PhasePlessieChaseScene"
0x71013cb0fe,"TitleScene"
0x71013cb109,"EchoBlockEmitterUbo"
0x71013cb11d,"2D StopScene"
0x71013cb12a,"エフェクト（２Ｄ）"
0x71013cb146,"ミス表示"
0x71013cb153,"TitleVolumes"
0x71013cb160,"終了ワイプ"
0x71013cb170,"Storm"
0x71013cb176,"EuPt"
0x71013cb17b,"CNzh"
0x71013cb180,"Stationed[SingleMode]"
0x71013cb196,"PHASE0 , PHASE1 , PHASE1_BOSS , PHASE2 , PHASE2_BOSS , PHASE3 , PHASE3_BOSS , PHASE3_PLESSIE_CHASE , PHASE4 , PHASE4_BOSS , PHASE4_PLESSIE_CHASE"
0x71013cb227,"ミステリーハウス"
0x71013cb240,"チャンピオンシップ"
0x71013cb25c,"MetalHeavy"
0x71013cb267,"ブーメランヒット[壊れ]"
0x71013cb288,"PrOceanScene"
0x71013cb295,"nvnQueueBuilderSetDefaults"
0x71013cb2b0,"nvnMemoryPoolInvalidateMappedRange"
0x71013cb2d3,"nvnBufferFlushMappedRange"
0x71013cb2ed,"nvnBufferGetSize"
0x71013cb2fe,"nvnTextureFinalize"
0x71013cb311,"nvnTextureGetHeight"
0x71013cb325,"nvnTextureInvalidateTexels"
0x71013cb340,"nvnSamplerBuilderGetBorderColor"
0x71013cb360,"nvnSamplerGetMaxAnisotropy"
0x71013cb37b,"nvnBlendStateSetAdvancedNormalizedDst"
0x71013cb3a1,"nvnBlendStateGetAdvancedOverlap"
0x71013cb3c1,"nvnColorStateGetAlphaTest"
0x71013cb3db,"nvnCommandBufferFinalize"
0x71013cb3f4,"nvnCommandBufferBindChannelMaskState"
0x71013cb419,"nvnCommandBufferBindImage"
0x71013cb433,"nvnCommandBufferEndTransformFeedback"
0x71013cb458,"nvnCommandBufferClearTextureui"
0x71013cb477,"nvnCommandBufferRestoreZCullData"
0x71013cb498,"nvnCommandBufferPopDebugGroupId"
0x71013cb4b8,"nvnSyncInitialize"
0x71013cb4ca,"nvnSyncSetDebugLabel"
0x71013cb4df,"nvnQueueWaitSync"
0x71013cb4f0,"nvnEventInitialize"
0x71013cb503,"nvnEventGetValue"
0x71013cb514,"DecisionButton"
0x71013cb523,"g3d_index"
0x71013cb52d,"g3d_ShapeUniformBlock"
0x71013cb543,"sysVertexColor0Attr"
0x71013cb557,"sysCustomShaderShadowArraySampler2"
0x71013cb57a," FindFreeBlockMode: %s\n"
0x71013cb592,"\n "
0x71013cb595,"sead::MainThread"
0x71013cb5a6,"ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/"
0x71013cb5e9,"]]>"
0x71013cb5ed,"apos"
0x71013cb5f2,"content:"
0x71013cb5fb,"NVN_DEVICE_INFO_COUNTER_ALIGNMENT"
0x71013cb61d,"NVN_DEVICE_INFO_SHADER_SCRATCH_MEMORY_SCALE_FACTOR_MINIMUM"
0x71013cb658,"cTextureFormat_BC2_SRGB"
0x71013cb670,"cTextureFormat_BC3_uNorm"
0x71013cb689,"Cursour(agl debug)"
0x71013cb69c,"depth_linear"
0x71013cb6a9,"smaac_weight_calculation"
0x71013cb6c2,"multi_filter_reduce"
0x71013cb6d6,"screen_pick"
0x71013cb6e2,"glare_filter_clear"
0x71013cb6f5,"sh_volume_point"
0x71013cb705,"volume_mask_drawtex"
0x71013cb719,"uColorMatrix[0]"
0x71013cb729,"cWorld[0]"
0x71013cb733,"cPVW_Cylinder"
0x71013cb741,"cExposureTexture"
0x71013cb752,"cSMAAComposeParam"
0x71013cb764,"LightMip"
0x71013cb76d,"cViewMtx[0]"
0x71013cb779,"cSamplePoint[0]"
0x71013cb789,"cOcclusion"
0x71013cb794,"cReferLevel"
0x71013cb7a0,"cTrans"
0x71013cb7a7,"cW[0]"
0x71013cb7ad,"program num   : %d\nvariation num : %d\nsource num    : %d"
0x71013cb7e6,"%2d) %s / ( %d )"
0x71013cb7f7,"%2d) %s / Location:%d/%d"
0x71013cb810,"Icon = NOTE"
0x71013cb81c,"基準高さ"
0x71013cb829,"Min = 0.0001, Max = 0.01"
0x71013cb842,"dynamic_rayleigh_amplifier"
0x71013cb85d,"フォグ濃度"
0x71013cb86d,"scatter_fog_atten"
0x71013cb87f,"cTexDeltaSR"
0x71013cb88b,"cSizeIrradiance"
0x71013cb89b,"cTexBakedIrradiance"
0x71013cb8af,"xml"
0x71013cb8b3,"ATTRIB"
0x71013cb8ba,"defined"
0x71013cb8c2,"active"
0x71013cb8c9,"Min=-1.0, Max=1.0"
0x71013cb8db,"agl::RenderDisplay(depth)"
0x71013cb8f5,"色収差（ XYZ が RGB に対応）"
0x71013cb91b,"is_enable"
0x71013cb925,"ssao_type"
0x71013cb92f,"ssao_reduced_depth"
0x71013cb942,"Min=1, Max=100"
0x71013cb951,"Enable Depth Clamp"
0x71013cb964,"%s_end"
0x71013cb96b,"Min=0, Max=8"
0x71013cb978,"bloom_ex"
0x71013cb981,"GroupHeader= viewpoint: %d"
0x71013cb99c,"agl::lght::LightPrePass"
0x71013cb9b4,"Enable indirect depth cancel"
0x71013cb9d1,"enable_indirect_from_full"
0x71013cb9eb,"rg8 sN"
0x71013cb9f2,"コアサイズ"
0x71013cba02,"Size%d"
0x71013cba09,"IsEnableRotatePos%d"
0x71013cba1d,"%s IsEnable = %s"
0x71013cba2e,"optimize_offset_far"
0x71013cba42,"same_point_epsilon"
0x71013cba55,"near_far_margin_array"
0x71013cba6b,"Force Array"
0x71013cba77,"alloc_from_mem1"
0x71013cba87,"Rチャンネルに符号付きで濃淡を追加描画"
0x71013cbabf,"デプスから法線を生成"
0x71013cbade,"is_useFarDepthTest"
0x71013cbaf1,"CaptureBGAlpha"
0x71013cbb00,"LayoutMsg/%s.msbt"
0x71013cbb14,"Bottom"
0x71013cbb1b,"NO_USER"
0x71013cbb23,"IsLppLight"
0x71013cbb2e,"ライトプリパス軽量"
0x71013cbb4a,"const_color"
0x71013cbb56,"DRCassist"
0x71013cbb60,"TerrainObj"
0x71013cbb6b,"エフェクト（下画面２Ｄ）"
0x71013cbb90,"Ｚプリパス[地形]"
0x71013cbba8,"ActorModelDrawDeferredSSD"
0x71013cbbc2,"Min=0.0f, Max=1.0f"
0x71013cbbd5,"ReduceScale"
0x71013cbbe1,"LppLightShaderFunc"
0x71013cbbf4,"AngleDamp"
0x71013cbbfe,"LineLightView"
0x71013cbc0c,"BindableGoalItem"
0x71013cbc1d,"ObjectData"
0x71013cbc28,"InitFlag"
0x71013cbc31,"Wet"
0x71013cbc35,"OceanWaveName"
0x71013cbc43,"SinkSpeed"
0x71013cbc4d,"IsStopKill"
0x71013cbc58,"RotateAccelOn"
0x71013cbc66,"CourseSelectResource"
0x71013cbc7b,"PostEffectMask"
0x71013cbc8a,"LocalScale"
0x71013cbc95,"Sky01Mat"
0x71013cbc9e,"Translate"
0x71013cbca8,"multi_depth_param"
0x71013cbcba,"MaskThreshold"
0x71013cbcc8,"BLUR_QUALITY"
0x71013cbcd5,"EFFECT_TYPE"
0x71013cbce1,"減衰"
0x71013cbce8,"RotateDegree"
0x71013cbcf5,"太陽の軌道の方向（Ｙ軸角度で指定）"
0x71013cbd29,"0:上が明るいリム（お化け）"
0x71013cbd50,"8:上部横線（ルート土管外側）"
0x71013cbd7a,"9:中央縦"
0x71013cbd86,"Fresnel 3 World"
0x71013cbd96,"Lake"
0x71013cbd9b,"IsHideAtSelfMirror"
0x71013cbdae,"SphereDoView"
0x71013cbdbb,"ExpXZ"
0x71013cbdc1,"アイテムのシャドウ強度"
0x71013cbde3,"aglsdw_mask"
0x71013cbdef,"CameraShakeNameMiddle"
0x71013cbe05,"ShowModel"
0x71013cbe0f,"-\n"
0x71013cbe12,"%s'%s'\n"
0x71013cbe1a,"FrictionH"
0x71013cbe24,"IsOneTime"
0x71013cbe2e,"DontChangeLowPriorityLineByAreaChange"
0x71013cbe54,"IsEnableNwRender"
0x71013cbe65,"ShapeList"
0x71013cbe6f,"IsEndIfOnGround"
0x71013cbe7f,"DistanceY"
0x71013cbe89,"パルス（中）"
0x71013cbe9c,"UserMoveBack"
0x71013cbea9,"CameraDistanceMax"
0x71013cbebb,"船内振動"
0x71013cbec8,"DataName"
0x71013cbed1,".bnvib"
0x71013cbed8,"ShadowMaskOverlay"
0x71013cbeea,"cHalfViewDepth"
0x71013cbef9,"Sh"
0x71013cbefc,"nintendo_udsg-r_std_003_80.fcpx"
0x71013cbf1c,"SystemMessage"
0x71013cbf2a,"PadStyle2P"
0x71013cbf35,"DateDetail"
0x71013cbf40,"Fig02"
0x71013cbf46,"Fig_5"
0x71013cbf4c,"OceanWaveInfoList"
0x71013cbf5e,"alNoiseGem"
0x71013cbf69,"IS_SEAMLESS"
0x71013cbf75,"NoiseTexture::Worley3D"
0x71013cbf8c,"NoiseTexture::PerlinFbm2D"
0x71013cbfa6,"BoundDepth"
0x71013cbfb1,"WhiteParam"
0x71013cbfbc,"ミップレベル"
0x71013cbfcf,"キャンバス地のリピート"
0x71013cbff1,"FishEyeParam"
0x71013cbffe,"alRenderContours"
